video,speaker,word,startframe,endframe
46,woman-1,PAST,16,28
46,woman-1,LIVE,32,37
46,woman-1,CHICAGO,40,50
47,woman-2,JOHN,6,10
47,woman-2,BUY,12,21
47,woman-2,CAR,21,30
47,woman-2,FUTURE,31,41
48,woman-1,JOHN,5,12
48,woman-1,BUY,17,24
48,woman-1,CAR,27,35
48,woman-1,FUTURE,38,52
49,woman-1,JOHN,5,10
49,woman-1,BUY,13,19
49,woman-1,CAR,21,29
49,woman-1,SHOULD,29,44
51,woman-1,JOHN,5,13
51,woman-1,BUY,17,23
51,woman-1,CAR,25,33
51,woman-1,FUTURE,34,37
51,woman-1,NOT,39,47
52,woman-1,JOHN,5,13
52,woman-1,SHOULD,14,19
52,woman-1,NOT,20,30
52,woman-1,BUY,32,37
52,woman-1,HOUSE,40,55
53,woman-2,JOHN,5,12
53,woman-2,SHOULD,13,21
53,woman-2,NOT,21,26
53,woman-2,BUY,29,33
53,woman-2,HOUSE,36,49
55,woman-2,JOHN,6,12
55,woman-2,SHOULD,13,23
55,woman-2,BUY,29,34
55,woman-2,HOUSE,35,49
56,man-1,JOHN,10,21
56,man-1,DECIDE,27,36
56,man-1,VISIT,37,46
56,man-1,MARY,47,55
58,man-1,JOHN,9,34
58,man-1,DECIDE,34,45
58,man-1,VISIT,47,58
58,man-1,MARY,58,66
59,woman-1,JOHN,3,7
59,woman-1,FUTURE,9,16
59,woman-1,NOT,19,24
59,woman-1,BUY,27,31
59,woman-1,HOUSE,34,49
60,woman-1,JOHN,5,10
60,woman-1,PREFER,10,23
60,woman-1,GO,23,31
60,woman-1,MOVIE,34,47
61,woman-1,JOHN,2,6
61,woman-1,WANT,12,21
61,woman-1,SELL,20,30
61,woman-1,CAR,30,46
62,woman-1,JOHN,1,7
62,woman-1,WANT,10,15
62,woman-1,SELL,15,22
62,woman-1,CAR,24,32
62,woman-1,FUTURE,34,51
63,woman-1,FUTURE,6,11
63,woman-1,JOHN,13,21
63,woman-1,GO,23,29
63,woman-1,FUTURE,32,43
64,woman-1,JOHN,5,14
64,woman-1,PREFER,14,23
64,woman-1,GO,25,30
64,woman-1,MOVIE,34,39
64,woman-1,TOMORROW,41,57
65,woman-1,NEXT-WEEK,8,14
65,woman-1,JOHN,15,23
65,woman-1,GO,25,32
65,woman-1,NEW-YORK,36,52
66,woman-1,JOHN,2,8
66,woman-1,FUTURE,10,23
66,woman-1,NOT,26,33
66,woman-1,BUY,35,39
66,woman-1,HOUSE,41,52
68,woman-2,LAST-WEEK,5,17
68,woman-2,JOHN,19,29
68,woman-2,GO,33,43
68,woman-2,NEW-YORK,45,58
69,woman-2,JOHN,4,11
69,woman-2,WILL,13,17
69,woman-2,VISIT,19,30
69,woman-2,MARY,30,44
70,woman-2,JOHN,3,11
70,woman-2,WILL,11,18
70,woman-2,VISIT,20,28
70,woman-2,MARY,29,40
72,woman-2,JOHN,3,11
72,woman-2,FINISH,13,20
72,woman-2,VISIT,20,31
72,woman-2,MARY,32,45
73,man-1,JOHN,2,13
73,man-1,NOT,13,24
73,man-1,VISIT,26,38
73,man-1,MARY,41,54
75,woman-2,JOHN,3,10
75,woman-2,FUTURE,10,19
75,woman-2,FINISH,19,25
75,woman-2,VISIT,29,42
75,woman-2,MARY,43,53
76,woman-2,ANN,2,14
76,woman-2,BLAME,14,26
76,woman-2,MARY,26,45
78,woman-2,JOHN,4,12
78,woman-2,FUTURE,12,22
78,woman-2,FINISH,22,26
78,woman-2,SEE,30,36
78,woman-2,MARY,38,57
79,woman-2,JOHN,4,11
79,woman-2,SHOULD,11,17
79,woman-2,FINISH,17,24
79,woman-2,READ,30,35
79,woman-2,BOOK,39,44
80,woman-2,JOHN,4,18
80,woman-2,FUTURE,20,26
80,woman-2,FINISH,26,32
80,woman-2,READ,35,41
80,woman-2,BOOK,46,51
81,woman-2,JOHN,4,10
81,woman-2,LIKE,13,19
81,woman-2,CHOCOLATE,19,35
82,woman-1,JOHN,7,14
82,woman-1,SHOULD,16,25
82,woman-1,NOT,26,31
82,woman-1,LIKE,31,37
82,woman-1,CHOCOLATE,37,56
83,woman-1,IX-1P,6,11
83,woman-1,FIND,11,14
83,woman-1,SOMETHING-ONE,15,24
83,woman-1,POSS,24,37
83,woman-1,BOOK,40,46
85,woman-1,JOHN,10,18
85,woman-1,BROTHER,25,33
85,woman-1,ARRIVE,37,45
86,woman-1,SOMETHING-ONE,7,15
86,woman-1,ARRIVE,18,24
86,woman-1,HERE,25,35
87,woman-2,JOHN,7,19
87,woman-2,GIVE,19,31
87,woman-2,IX,31,46
87,woman-2,MAN,46,58
87,woman-2,IX,58,73
87,woman-2,NEW,89,100
87,woman-2,COAT,100,119
88,woman-2,JOHN,7,18
88,woman-2,GIVE,20,40
88,woman-2,IX,40,51
88,woman-2,MAN,54,66
88,woman-2,NEW,68,76
88,woman-2,COAT,77,93
91,woman-2,JOHN,4,9
91,woman-2,IX,12,22
91,woman-2,GIVE,22,37
91,woman-2,IX,37,47
91,woman-2,WOMAN,47,68
91,woman-2,IX,68,95
91,woman-2,BOOK,99,105
93,man-1,JOHN,13,36
93,man-1,GIVE1,40,57
93,man-1,IX,59,76
93,man-1,SOMETHING-ONE,76,87
93,man-1,WOMAN,88,99
93,man-1,BOOK,102,112
94,woman-2,JOHN,4,15
94,woman-2,GIVE1,15,29
94,woman-2,IX,33,51
94,woman-2,SOMETHING-ONE,51,60
94,woman-2,WOMAN,64,74
94,woman-2,BOOK,78,85
95,man-1,IX,14,34
95,man-1,WOMAN,34,52
95,man-1,HAVE,52,60
95,man-1,BOOK,61,68
96,man-1,IX,13,29
96,man-1,HAVE,29,39
96,man-1,BOOK,42,49
97,woman-2,FRANK,7,24
97,woman-2,POSS,24,32
97,woman-2,NEW,35,44
97,woman-2,CAR,44,50
97,woman-2,BREAK-DOWN,50,66
98,woman-1,POSS,16,22
98,woman-1,FRANK,22,35
98,woman-1,NEW,39,48
98,woman-1,CAR,50,60
98,woman-1,BREAK-DOWN,62,75
99,woman-1,FRANK,11,23
99,woman-1,POSS,25,33
99,woman-1,CAR,39,46
99,woman-1,BREAK-DOWN,47,61
101,woman-1,POSS,23,33
101,woman-1,NEW,36,46
101,woman-1,CAR,48,54
101,woman-1,BREAK-DOWN,57,69
102,woman-2,JOHN,4,13
102,woman-2,SEARCH-FOR,18,33
102,woman-2,WHO,32,42
102,woman-2,POSS,44,49
102,woman-2,BOOK,52,58
102,woman-2,WHAT,59,79
103,woman-1,JOHN,4,12
103,woman-1,POSS,15,20
103,woman-1,BROTHER,20,36
103,woman-1,ARRIVE,39,50
104,woman-1,JOHN,8,16
104,woman-1,POSS,18,25
104,woman-1,LEG,26,33
106,man-1,JOHN,20,36
106,man-1,POSS,39,46
106,man-1,FRIEND,48,65
106,man-1,HAVE,65,71
106,man-1,CANDY,73,84
109,woman-2,WOMAN,19,30
109,woman-2,ARRIVE,31,35
109,woman-2,HERE,36,43
110,woman-2,WHAT,5,19
110,woman-2,SOMETHING-ONE,21,27
110,woman-2,WHAT,30,34
110,woman-2,WOMAN,42,52
110,woman-2,ARRIVE,54,60
111,woman-2,WHAT,10,22
111,woman-2,WOMAN,27,34
111,woman-2,WHAT,37,47
111,woman-2,ARRIVE,52,62
111,woman-2,HERE,64,69
112,man-1,IX,17,24
112,man-1,CAR,27,36
112,man-1,BLUE,40,55
112,man-1,SUE,56,63
112,man-1,BUY1,64,79
114,man-1,SOMETHING-ONE,16,27
114,man-1,POSS,30,34
114,man-1,CAR,37,46
114,man-1,STOLEN,54,74
115,woman-2,SOMETHING-ONE,6,19
115,woman-2,CAR,21,28
115,woman-2,STOLEN,34,49
116,man-1,JOHN,0,14
116,man-1,POSS,16,21
116,man-1,OLD,23,31
116,man-1,HOUSE,33,41
116,man-1,SELL,42,50
116,man-1,YESTERDAY,53,66
117,man-1,SUE,14,23
117,man-1,BUY1,26,31
117,man-1,IX,34,40
117,man-1,CAR,40,46
117,man-1,BLUE,46,53
118,man-1,SUE,9,27
118,man-1,BUY1,31,38
118,man-1,IX,45,54
118,man-1,CAR,56,64
118,man-1,BLUE,66,72
120,man-1,SUE,8,19
120,man-1,BUY1,22,30
120,man-1,CAR,33,40
120,man-1,BLUE,39,44
121,woman-2,JOHN,6,18
121,woman-2,READ,21,28
121,woman-2,BOOK,30,37
123,woman-1,SOMETHING-ONE,7,15
123,woman-1,STUDENT,18,25
123,woman-1,HAVE,26,33
123,woman-1,VIDEOTAPE,35,52
124,man-1,SOMETHING-ONE,23,30
124,man-1,STUDENT,33,41
124,man-1,SOMETHING-ONE,49,61
124,man-1,BORROW,70,75
124,man-1,VIDEOTAPE,78,93
125,woman-1,STUDENT,4,13
125,woman-1,HAVE,14,24
125,woman-1,VIDEOTAPE,30,45
126,woman-1,JOHN,7,14
126,woman-1,MOTHER,17,22
126,woman-1,ARRIVE,30,36
126,woman-1,WHO,43,50
126,woman-1,MOTHER,53,60
126,woman-1,ARRIVE,63,73
127,man-1,JOHN,29,38
127,man-1,SEE,39,44
127,man-1,WHO,45,55
127,man-1,WHAT,61,72
128,woman-1,IX,6,12
128,woman-1,JOHN,12,19
128,woman-1,SEE,20,27
128,woman-1,WHO,27,38
128,woman-1,IX,38,43
128,woman-1,WHO,43,58
129,man-1,WHAT,22,31
129,man-1,MARY,35,45
129,man-1,WONT,46,56
129,man-1,EAT,58,64
129,man-1,WHAT,69,77
130,man-1,JOHN,23,35
130,man-1,MARY,41,51
130,man-1,LOVE,53,61
130,man-1,IX,62,66
131,man-1,JOHN,26,42
131,man-1,IX,49,56
131,man-1,LIKE,56,64
131,man-1,MARY,67,81
132,man-1,WHO,21,34
132,man-1,VEGETABLE,38,50
132,man-1,PREFER,54,62
132,man-1,POTATO,66,75
132,man-1,WHAT,78,95
133,man-1,WHAT,17,26
133,man-1,JOHN,28,36
133,man-1,LOVE,38,46
133,man-1,WHAT,47,58
134,woman-1,WHAT,13,17
134,woman-1,JOHN,18,25
134,woman-1,LOVE,27,34
134,woman-1,WHAT,40,51
135,woman-1,WHAT,6,10
135,woman-1,JOHN,11,19
135,woman-1,LOVE,20,28
135,woman-1,WHAT,32,42
136,woman-1,WHO,15,17
136,woman-1,TELL,19,26
136,woman-1,BILL,28,39
136,woman-1,MARY,45,62
137,man-1,JOHN,5,12
137,man-1,BUY1,14,21
137,man-1,WHAT,23,29
137,man-1,YESTERDAY,33,41
137,man-1,BOOK,46,62
138,woman-1,JOHN,5,10
138,woman-1,BUY,16,23
138,woman-1,WHAT,25,33
138,woman-1,YESTERDAY,35,50
138,woman-1,BOOK,60,74
140,woman-1,JOHN,5,9
140,woman-1,BUY,14,19
140,woman-1,YESTERDAY,21,30
140,woman-1,WHAT,34,48
140,woman-1,BOOK,55,67
141,woman-1,JOHN,4,10
141,woman-1,BUY,15,24
141,woman-1,WHAT,28,41
141,woman-1,BOOK,49,62
143,man-1,TELL,7,14
143,man-1,BILL,15,23
143,man-1,YESTERDAY,26,34
143,man-1,WHO,36,47
143,man-1,MARY,51,64
144,woman-1,TELL,11,15
144,woman-1,BILL,16,24
144,woman-1,YESTERDAY,26,39
144,woman-1,WHO,41,57
144,woman-1,MARY,57,73
145,woman-1,WHO,11,14
145,woman-1,TELL,14,20
145,woman-1,BILL,21,27
145,woman-1,WHAT,34,46
145,woman-1,MARY,50,64
146,woman-1,WHO,9,14
146,woman-1,JOHN,15,21
146,woman-1,VISIT,23,32
146,woman-1,WHAT,36,46
146,woman-1,MARY,48,62
147,woman-1,TELL,8,17
147,woman-1,BILL,19,31
147,woman-1,YESTERDAY,31,45
147,woman-1,WHO,50,62
147,woman-1,MARY,66,77
148,man-1,JOHN,9,18
148,man-1,BUY1,20,25
148,man-1,YESTERDAY,31,37
148,man-1,WHAT,39,48
148,man-1,BOOK,53,63
149,man-1,WHO,13,19
149,man-1,JOHN,19,29
149,man-1,SEE,31,36
149,man-1,WHAT,40,51
149,man-1,MARY,55,70
150,woman-1,JOHN,1,9
150,woman-1,SEE,9,17
150,woman-1,THROW,20,33
150,woman-1,APPLE,39,43
150,woman-1,WHO,46,55
150,woman-1,MARY,57,72
151,woman-1,JOHN,5,11
151,woman-1,SEE,12,22
151,woman-1,THROW,26,39
151,woman-1,APPLE,42,52
151,woman-1,WHO,56,64
151,woman-1,MARY,66,77
152,man-1,JOHN,12,19
152,man-1,SEE,22,35
152,man-1,THROW,37,48
152,man-1,APPLE,50,59
152,man-1,WHO,60,73
152,man-1,MARY,77,90
153,man-1,ARRIVE,14,20
153,man-1,WHO,26,40
154,woman-1,ARRIVE,13,21
154,woman-1,WHO,27,41
155,man-1,JOHN,16,29
155,man-1,GO,30,38
155,man-1,SHOULD,40,51
155,man-1,SHOULD,56,63
156,woman-1,JOHN,8,14
156,woman-1,GO,16,29
156,woman-1,SHOULD,29,41
157,man-1,JOHN,5,16
157,man-1,SHOULD,18,24
157,man-1,GO,25,32
157,man-1,SHOULD,35,42
157,man-1,SHOULD,49,55
159,man-1,LOVE,15,20
159,man-1,JOHN,22,29
159,man-1,WHO,31,46
160,woman-1,LOVE,10,16
160,woman-1,JOHN,20,29
160,woman-1,WHO,34,46
161,woman-1,WHO,15,20
161,woman-1,JOHN,20,25
161,woman-1,LOVE,28,34
161,woman-1,WHO,41,51
162,woman-1,WHAT,8,14
162,woman-1,JOHN,15,19
162,woman-1,LIKE,22,33
163,woman-1,WHO,22,27
163,woman-1,ARRIVE,31,44
164,woman-1,NAME,14,30
165,man-1,SHOOT,29,45
165,man-1,FRANK,48,60
166,man-1,JOHN,13,24
166,man-1,IX,29,35
166,man-1,SAY-1P,36,43
166,man-1,LOVE,44,54
166,man-1,MARY,59,70
168,man-1,JOHN,19,36
168,man-1,BLAME,40,50
169,man-1,MARY,18,31
169,man-1,BILL,37,48
169,man-1,SAY,51,57
169,man-1,JOHN,57,67
169,man-1,LOVE,70,87
170,man-1,JOHN,10,24
170,man-1,MARY,23,35
170,man-1,BLAME,38,48
172,man-1,MARY,18,34
172,man-1,SELF,41,49
172,man-1,PREFER,51,58
172,man-1,CORN,59,74
173,man-1,MARY,8,21
173,man-1,SELF,23,30
173,man-1,PREFER,33,39
173,man-1,CORN,40,55
175,man-1,PEOPLE,18,32
175,man-1,GROUP,35,43
175,man-1,GIVE1,46,71
175,man-1,JANA,74,91
175,man-1,TOY1,95,112
176,man-1,MANY,24,32
176,man-1,PEOPLE,35,45
176,man-1,GIVE1,47,70
176,man-1,JANA,75,89
176,man-1,TOY,94,106
177,man-1,JOHN,11,34
177,man-1,LOVE,42,54
177,man-1,MARY,57,66
178,man-1,JOHN,9,20
178,man-1,ARRIVE,25,38
179,man-1,JOHN,7,27
179,man-1,ARRIVE,32,48
180,man-1,JOHN,9,24
180,man-1,ARRIVE,28,43
182,man-1,ALL,40,51
182,man-1,BOY,54,59
182,man-1,GIVE1,73,93
182,man-1,TEACHER,98,108
182,man-1,APPLE,112,122
183,man-1,ALL,14,24
183,man-1,BOY,27,37
183,man-1,GIVE1,41,68
183,man-1,TEACHER,70,80
183,man-1,APPLE,86,96
185,man-1,IX,13,19
185,man-1,GIRL,23,32
185,man-1,GIVE,34,46
185,man-1,JOHN,49,57
185,man-1,BOX,60,77
186,man-1,IX,8,17
186,man-1,GIRL,21,27
186,man-1,GIVE2,30,40
186,man-1,JOHN,40,49
186,man-1,BOX,51,66
187,man-1,TEACHER,10,21
187,man-1,GIVE,24,31
187,man-1,GIVE,38,43
187,man-1,GIVE,49,55
187,man-1,BOY,60,66
187,man-1,BOOK,70,77
188,man-1,TEACHER,21,42
188,man-1,GIVE3,58,76
188,man-1,BOY,83,90
188,man-1,BOOK,95,104
190,man-1,IX,5,15
190,man-1,GIRL,19,28
190,man-1,GIVE,30,38
190,man-1,JOHN,39,50
190,man-1,BOX,52,70
191,man-1,JOHN,2,9
191,man-1,GIVE,10,24
191,man-1,GIRL,28,37
191,man-1,BOX,37,53
192,man-1,JOHN,26,41
192,man-1,GIVE3,44,63
192,man-1,GIRL,67,74
192,man-1,BOX,78,93
194,woman-1,JOHN,1,17
194,woman-1,CAN,21,25
194,woman-1,GET,26,33
194,woman-1,CAN,36,47
195,woman-2,JOHN,7,14
195,woman-2,NOT,17,20
195,woman-2,VISIT,22,29
195,woman-2,MARY,30,41
195,woman-2,VISIT,58,67
195,woman-2,MOTHER,68,73
195,woman-2,IX,75,81
196,man-1,IX,18,26
196,man-1,BOOK,28,35
196,man-1,PUTASIDE,37,53
197,man-1,JOHN,8,16
197,man-1,ARRIVE,18,24
197,man-1,NOT,28,35
197,man-1,WHAT,37,49
198,man-1,LIKE,8,14
198,man-1,CHOCOLATE,19,30
198,man-1,WHO,34,47
200,woman-1,JOHN,5,12
200,woman-1,VISIT,14,21
200,woman-1,WHO,26,38
200,woman-1,WHAT,42,56
